model,runtime,track,repeat,outcome,is_model_valid,pass_29,pass_25,working_29,working_25,energy_j,energy_valid,exit_code,duration_s
gpt-oss-120b,vllm,node,1,scored,1,0.5172,0.6,1,1,10956.54,1,0,369.303
gpt-oss-120b,vllm,node,10,scored,1,0.9655,0.96,1,1,16170.36,1,0,486.944
gpt-oss-120b,vllm,node,11,scored,1,1.0,1.0,1,1,11554.47,1,0,519.851
gpt-oss-120b,vllm,node,12,scored,1,1.0,1.0,1,1,21049.5,1,0,749.348
gpt-oss-120b,vllm,node,13,scored,1,0.5172,0.6,1,1,18773.4,1,0,724.969
gpt-oss-120b,vllm,node,14,scored,1,0.5517,0.6,1,1,26124.38,1,0,1208.902
gpt-oss-120b,vllm,node,15,scored,1,1.0,1.0,1,1,18404.79,1,0,725.683
gpt-oss-120b,vllm,node,16,scored,1,0.9655,0.96,1,1,13347.12,1,0,431.999
gpt-oss-120b,vllm,node,17,scored,1,0.9655,0.96,1,1,20512.38,1,0,769.662
gpt-oss-120b,vllm,node,18,scored,1,1.0,1.0,1,1,28897.27,1,0,1073.573
gpt-oss-120b,vllm,node,19,scored,1,0.1034,0.12,0,0,23060.81,1,0,785.959
gpt-oss-120b,vllm,node,2,scored,1,0.0345,0.04,0,0,16395.06,1,0,506.603
gpt-oss-120b,vllm,node,20,scored,1,0.9655,0.96,1,1,11126.05,1,0,341.138
gpt-oss-120b,vllm,node,3,scored,1,0.5172,0.6,1,1,14601.19,1,0,565.01
gpt-oss-120b,vllm,node,4,scored,1,1.0,1.0,1,1,18731.7,1,0,741.327
gpt-oss-120b,vllm,node,5,scored,1,1.0,1.0,1,1,20710.76,1,0,668.666
gpt-oss-120b,vllm,node,6,scored,1,0.0345,0.04,0,0,11888.42,1,0,373.497
gpt-oss-120b,vllm,node,7,scored,1,0.931,0.92,1,1,19076.12,1,0,754.81
gpt-oss-120b,vllm,node,8,scored,1,0.931,0.96,1,1,20591.19,1,0,607.636
gpt-oss-120b,vllm,node,9,scored,1,0.4828,0.56,0,1,11394.0,1,0,340.8
gpt-oss-120b,vllm,python,1,scored,1,0.0,0.0,0,0,18013.66,1,0,558.006
gpt-oss-120b,vllm,python,2,scored,1,0.0345,0.04,0,0,14820.79,1,0,476.65
gpt-oss-120b,vllm,python,3,scored,1,0.0345,0.04,0,0,22882.61,1,0,698.388
gpt-oss-120b,vllm,python,4,scored,1,0.0345,0.04,0,0,29472.53,1,0,879.489
gpt-oss-120b,vllm,python,5,scored,1,0.0,0.0,0,0,35342.26,1,0,1000.796
gpt-oss-120b,vllm,python,6,scored,1,0.3793,0.4,0,0,,,,
gpt-oss-120b,vllm,python,7,scored,1,0.0345,0.04,0,0,28756.97,1,1,883.388
gpt-oss-120b,vllm,python,8,scored,1,0.0345,0.04,0,0,21449.05,1,1,589.945
nemotron-super,tensorrt-llm,node,1,scored,1,0.0,0.0,0,0,74320.15,1,0,1574.552
nemotron-super,tensorrt-llm,node,2,scored,1,0.0,0.0,0,0,10723.22,1,0,230.01
nemotron-super,tensorrt-llm,node,3,scored,1,0.0,0.0,0,0,79715.74,1,0,1796.966
nemotron-super,tensorrt-llm,node,4,scored,1,0.0345,0.04,0,0,64153.77,1,0,1622.236
nemotron-super,tensorrt-llm,python,1,scored,1,0.0,0.0,0,0,85497.36,1,0,1885.018
nemotron-super,tensorrt-llm,python,2,scored,1,0.0,0.0,0,0,17075.64,1,0,361.581
nemotron-super,tensorrt-llm,python,3,scored,1,0.0,0.0,0,0,8631.94,1,0,203.97
nemotron-super,tensorrt-llm,python,4,scored,1,0.0,,0,,7271.94,1,0,161.202
qwen3-coder-30b,vllm,node,1,scored,1,0.0,0.0,0,0,38549.57,1,0,1323.639
qwen3-coder-30b,vllm,node,10,scored,1,0.069,0.08,0,0,31582.34,1,0,1120.794
qwen3-coder-30b,vllm,node,11,scored,1,0.4483,0.48,0,0,21017.92,1,0,771.09
qwen3-coder-30b,vllm,node,12,scored,1,0.0,0.0,0,0,20004.2,1,0,684.361
qwen3-coder-30b,vllm,node,13,scored,1,0.0,0.0,0,0,37494.03,1,0,1284.129
qwen3-coder-30b,vllm,node,14,scored,1,0.0,0.0,0,0,26080.68,1,0,897.107
qwen3-coder-30b,vllm,node,15,scored,1,0.1034,0.12,0,0,30493.06,1,0,1077.651
qwen3-coder-30b,vllm,node,16,scored,1,0.0,0.0,0,0,16656.06,1,0,578.125
qwen3-coder-30b,vllm,node,17,scored,1,0.0345,0.04,0,0,33811.39,1,0,1184.976
qwen3-coder-30b,vllm,node,18,scored,1,0.0345,0.04,0,0,21539.43,1,0,776.994
qwen3-coder-30b,vllm,node,19,scored,1,0.1379,0.16,0,0,21432.48,1,0,762.576
